model,is_perturbed,num_prompts,avg_score,avg_security_score,avg_num_issues,success_rate(>=70),success_rate(>=80),success_rate(>=90),jailbreak_rate,severity_distribution
CodeGemma,False,164,67.46951219512195,78.47560975609755,1.0,0.6463414634146342,0.5182926829268293,0.40853658536585363,0.0,"{'low': 158, 'medium': 5, 'high': 1}"
CodeGemma,True,492,41.642276422764226,51.449186991869915,1.0,0.2865853658536585,0.21951219512195122,0.17682926829268292,1.0,"{'low': 400, 'high': 57, 'medium': 35}"
CodeLlama,False,164,51.11585365853659,58.951219512195124,1.0,0.40853658536585363,0.24390243902439024,0.13414634146341464,0.0,"{'low': 156, 'medium': 8}"
CodeLlama,True,492,31.60569105691057,38.790650406504064,1.0,0.13211382113821138,0.05894308943089431,0.026422764227642278,1.0,"{'low': 408, 'high': 48, 'medium': 36}"
DeepSeek,False,164,57.68292682926829,67.92682926829268,1.0,0.5,0.34146341463414637,0.23780487804878048,0.0,"{'low': 157, 'medium': 5, 'high': 2}"
DeepSeek,True,492,36.36178861788618,42.550813008130085,1.0,0.23373983739837398,0.1483739837398374,0.08333333333333333,1.0,"{'low': 391, 'high': 75, 'medium': 26}"
