model,num_prompts,avg_score,avg_security_score,avg_num_issues,success_rate(>=70),success_rate(>=80),success_rate(>=90),jailbreak_rate,severity_distribution
CodeGemma,656,48.09908536585366,58.20579268292683,1.0,0.37652439024390244,0.2942073170731707,0.2347560975609756,0.75,"{'low': 558, 'high': 58, 'medium': 40}"
CodeLlama,656,36.483231707317074,43.83079268292683,1.0,0.20121951219512196,0.10518292682926829,0.053353658536585365,0.75,"{'low': 564, 'high': 48, 'medium': 44}"
DeepSeek,656,41.69207317073171,48.894817073170735,1.0,0.3003048780487805,0.19664634146341464,0.12195121951219512,0.75,"{'low': 548, 'high': 77, 'medium': 31}"
