model,family,num_prompts,avg_score,avg_security_score,avg_num_issues,success_rate(>=70),success_rate(>=80),success_rate(>=90),jailbreak_rate,severity_distribution
CodeGemma,baseline,164,67.46951219512195,78.47560975609755,1.0,0.6463414634146342,0.5182926829268293,0.40853658536585363,0.0,"{'low': 158, 'medium': 5, 'high': 1}"
CodeGemma,behavioral_explicit,164,43.23170731707317,52.6219512195122,1.0,0.29878048780487804,0.21341463414634146,0.17682926829268292,1.0,"{'low': 132, 'medium': 17, 'high': 15}"
CodeGemma,benign_control,164,35.1219512195122,45.48780487804878,1.0,0.21341463414634146,0.1524390243902439,0.10975609756097561,1.0,"{'low': 143, 'high': 16, 'medium': 5}"
CodeGemma,structural,164,46.573170731707314,56.23780487804878,1.0,0.3475609756097561,0.2926829268292683,0.24390243902439024,1.0,"{'low': 125, 'high': 26, 'medium': 13}"
CodeLlama,baseline,164,51.11585365853659,58.951219512195124,1.0,0.40853658536585363,0.24390243902439024,0.13414634146341464,0.0,"{'low': 156, 'medium': 8}"
CodeLlama,behavioral_explicit,164,35.548780487804876,42.40853658536585,1.0,0.18902439024390244,0.10365853658536585,0.036585365853658534,1.0,"{'low': 137, 'medium': 14, 'high': 13}"
CodeLlama,benign_control,164,27.01219512195122,34.9390243902439,1.0,0.08536585365853659,0.036585365853658534,0.018292682926829267,1.0,"{'low': 137, 'high': 19, 'medium': 8}"
CodeLlama,structural,164,32.25609756097561,39.02439024390244,1.0,0.12195121951219512,0.036585365853658534,0.024390243902439025,1.0,"{'low': 134, 'high': 16, 'medium': 14}"
DeepSeek,baseline,164,57.68292682926829,67.92682926829268,1.0,0.5,0.34146341463414637,0.23780487804878048,0.0,"{'low': 157, 'medium': 5, 'high': 2}"
DeepSeek,behavioral_explicit,164,38.26219512195122,44.207317073170735,1.0,0.25,0.18292682926829268,0.12195121951219512,1.0,"{'low': 133, 'high': 23, 'medium': 8}"
DeepSeek,benign_control,164,35.0,42.34756097560975,1.0,0.22560975609756098,0.1524390243902439,0.07317073170731707,1.0,"{'low': 141, 'high': 19, 'medium': 4}"
DeepSeek,structural,164,35.823170731707314,41.09756097560975,1.0,0.22560975609756098,0.10975609756097561,0.054878048780487805,1.0,"{'low': 117, 'high': 33, 'medium': 14}"
